Provider_ID,Measure_ID,Value,Footnote,Start_Date,End_Date
"100122","MSPB-1","  .982834","","01012015","12312015"
"100124","MSPB-1","  .965063","","01012015","12312015"
"100125","MSPB-1"," 1.073092","","01012015","12312015"
"100126","MSPB-1"," 1.108409","","01012015","12312015"
"100127","MSPB-1"," 1.045183","","01012015","12312015"
"100128","MSPB-1"," 1.011601","","01012015","12312015"
"100130","MSPB-1","  .989305","","01012015","12312015"
"100131","MSPB-1"," 1.057383","","01012015","12312015"
"100132","MSPB-1"," 1.025985","","01012015","12312015"
"100135","MSPB-1"," 1.032969","","01012015","12312015"
"100137","MSPB-1","  .991238","","01012015","12312015"
"100140","MSPB-1","  .925280","","01012015","12312015"
"100142","MSPB-1"," 1.028734","","01012015","12312015"
"100150","MSPB-1","  .960843","","01012015","12312015"
"100151","MSPB-1","  .965613","","01012015","12312015"
"100154","MSPB-1"," 1.047083","","01012015","12312015"
"100156","MSPB-1"," 1.037762","","01012015","12312015"
"100157","MSPB-1"," 1.002997","","01012015","12312015"
"100161","MSPB-1"," 1.026047","","01012015","12312015"
"100166","MSPB-1"," 1.071640","","01012015","12312015"
"100167","MSPB-1"," 1.043329","","01012015","12312015"
"100168","MSPB-1"," 1.048104","","01012015","12312015"
"100173","MSPB-1"," 1.102351","","01012015","12312015"
"100175","MSPB-1"," 1.013096","","01012015","12312015"
"100176","MSPB-1"," 1.040207","","01012015","12312015"
"100177","MSPB-1","  .987666","","01012015","12312015"
"100179","MSPB-1"," 1.066227","","01012015","12312015"
"100180","MSPB-1"," 1.085999","","01012015","12312015"
"100181","MSPB-1"," 1.072310","","01012015","12312015"
"100183","MSPB-1"," 1.108877","","01012015","12312015"
"100187","MSPB-1"," 1.101222","","01012015","12312015"
"100189","MSPB-1"," 1.054271","","01012015","12312015"
"100191","MSPB-1"," 1.058930","","01012015","12312015"
"100200","MSPB-1"," 1.079294","","01012015","12312015"
"100204","MSPB-1","  .996782","","01012015","12312015"
"100206","MSPB-1"," 1.010252","","01012015","12312015"
"100209","MSPB-1","  .992006","","01012015","12312015"
"100211","MSPB-1"," 1.076093","","01012015","12312015"
"100212","MSPB-1"," 1.027643","","01012015","12312015"
"100213","MSPB-1"," 1.053341","","01012015","12312015"
"100220","MSPB-1"," 1.028568","","01012015","12312015"
"100223","MSPB-1"," 1.004896","","01012015","12312015"
"100224","MSPB-1"," 1.110120","","01012015","12312015"
"100228","MSPB-1"," 1.087145","","01012015","12312015"
"100230","MSPB-1","  .982554","","01012015","12312015"
"100231","MSPB-1"," 1.004116","","01012015","12312015"
"100234","MSPB-1"," 1.078065","","01012015","12312015"
"100236","MSPB-1"," 1.051212","","01012015","12312015"
"100240","MSPB-1","Not Available","1-The number of cases/patients is too few to report","01012015","12312015"
"100242","MSPB-1"," 1.067520","","01012015","12312015"
"100243","MSPB-1"," 1.011144","","01012015","12312015"
"100246","MSPB-1"," 1.064373","","01012015","12312015"
"100248","MSPB-1"," 1.121891","","01012015","12312015"
"100249","MSPB-1"," 1.068972","","01012015","12312015"
"100253","MSPB-1"," 1.018646","","01012015","12312015"
"100254","MSPB-1"," 1.023843","","01012015","12312015"
"100256","MSPB-1"," 1.025052","","01012015","12312015"
"100258","MSPB-1"," 1.112324","","01012015","12312015"
"100259","MSPB-1"," 1.016012","","01012015","12312015"
"100264","MSPB-1"," 1.039771","","01012015","12312015"
"100265","MSPB-1"," 1.067918","","01012015","12312015"
"100267","MSPB-1","  .993005","","01012015","12312015"
"100268","MSPB-1"," 1.081038","","01012015","12312015"
"100269","MSPB-1"," 1.045142","","01012015","12312015"
"100276","MSPB-1"," 1.053548","","01012015","12312015"
"100277","MSPB-1","  .890189","","01012015","12312015"
"100281","MSPB-1"," 1.021646","","01012015","12312015"
"100285","MSPB-1"," 1.051835","","01012015","12312015"
"100286","MSPB-1","  .948204","","01012015","12312015"
"100288","MSPB-1"," 1.110487","","01012015","12312015"
"100289","MSPB-1","  .953372","","01012015","12312015"
"100290","MSPB-1"," 1.005362","","01012015","12312015"
"100292","MSPB-1","  .966912","","01012015","12312015"
"100296","MSPB-1"," 1.040931","","01012015","12312015"
"100302","MSPB-1"," 1.052013","","01012015","12312015"
"100307","MSPB-1","  .969227","","01012015","12312015"
"100313","MSPB-1","  .973444","","01012015","12312015"
"100315","MSPB-1","  .989027","","01012015","12312015"
"100316","MSPB-1"," 1.021917","","01012015","12312015"
"100319","MSPB-1"," 1.009976","","01012015","12312015"
"100321","MSPB-1","  .967085","","01012015","12312015"
"100322","MSPB-1","  .870241","","01012015","12312015"
"090005","MSPB-1","  .935729","","01012015","12312015"
"090008","MSPB-1"," 1.053617","","01012015","12312015"
"090011","MSPB-1"," 1.024467","","01012015","12312015"
"100001","MSPB-1"," 1.011932","","01012015","12312015"
"100006","MSPB-1"," 1.011165","","01012015","12312015"
"100007","MSPB-1"," 1.020480","","01012015","12312015"
"100008","MSPB-1","  .992404","","01012015","12312015"
"100012","MSPB-1"," 1.017411","","01012015","12312015"
"100014","MSPB-1"," 1.012154","","01012015","12312015"
"100018","MSPB-1"," 1.012036","","01012015","12312015"
"100019","MSPB-1"," 1.045896","","01012015","12312015"
"100022","MSPB-1"," 1.040576","","01012015","12312015"
"100025","MSPB-1"," 1.022821","","01012015","12312015"
"100026","MSPB-1"," 1.058427","","01012015","12312015"
"100029","MSPB-1"," 1.127368","","01012015","12312015"
"100030","MSPB-1"," 1.044135","","01012015","12312015"
"100032","MSPB-1"," 1.072095","","01012015","12312015"
"100035","MSPB-1"," 1.083845","","01012015","12312015"
"100038","MSPB-1"," 1.070467","","01012015","12312015"
"100040","MSPB-1"," 1.012547","","01012015","12312015"
"100043","MSPB-1"," 1.071346","","01012015","12312015"
"100044","MSPB-1"," 1.051673","","01012015","12312015"
"100046","MSPB-1","  .995793","","01012015","12312015"
"100047","MSPB-1"," 1.054178","","01012015","12312015"
"100048","MSPB-1","  .912105","","01012015","12312015"
"100050","MSPB-1"," 1.118725","","01012015","12312015"
"100051","MSPB-1"," 1.005308","","01012015","12312015"
"100053","MSPB-1"," 1.092302","","01012015","12312015"
"100054","MSPB-1","  .915403","","01012015","12312015"
"100055","MSPB-1"," 1.063474","","01012015","12312015"
"100062","MSPB-1"," 1.048597","","01012015","12312015"
"100063","MSPB-1"," 1.093152","","01012015","12312015"
"100068","MSPB-1"," 1.033247","","01012015","12312015"
"100069","MSPB-1"," 1.052495","","01012015","12312015"
"100070","MSPB-1"," 1.034782","","01012015","12312015"
"100072","MSPB-1"," 1.054230","","01012015","12312015"
"010001","MSPB-1","  .999877","","01012015","12312015"
"010005","MSPB-1","  .983838","","01012015","12312015"
"010006","MSPB-1","  .987106","","01012015","12312015"
"010007","MSPB-1"," 1.091527","","01012015","12312015"
"010008","MSPB-1"," 1.048925","","01012015","12312015"
"010011","MSPB-1"," 1.018878","","01012015","12312015"
"010012","MSPB-1"," 1.002975","","01012015","12312015"
"010016","MSPB-1"," 1.038660","","01012015","12312015"
"010018","MSPB-1","Not Available","1-The number of cases/patients is too few to report","01012015","12312015"
"010019","MSPB-1"," 1.036255","","01012015","12312015"
"010021","MSPB-1","  .997852","","01012015","12312015"
"010022","MSPB-1","  .957417","","01012015","12312015"
"010023","MSPB-1"," 1.028851","","01012015","12312015"
"010024","MSPB-1"," 1.017859","","01012015","12312015"
"010029","MSPB-1","  .895810","","01012015","12312015"
"010032","MSPB-1","  .920650","","01012015","12312015"
"010033","MSPB-1","  .962895","","01012015","12312015"
"010034","MSPB-1","  .935007","","01012015","12312015"
"010035","MSPB-1","  .966526","","01012015","12312015"
"010036","MSPB-1","  .938072","","01012015","12312015"
"010038","MSPB-1","  .979949","","01012015","12312015"
"010039","MSPB-1"," 1.008153","","01012015","12312015"
"010040","MSPB-1"," 1.030779","","01012015","12312015"
"010044","MSPB-1","  .899546","","01012015","12312015"
"010045","MSPB-1","  .939466","","01012015","12312015"
"010046","MSPB-1","  .971895","","01012015","12312015"
"010047","MSPB-1","  .931721","","01012015","12312015"
"010049","MSPB-1"," 1.008107","","01012015","12312015"
"010051","MSPB-1","  .926167","","01012015","12312015"
"010052","MSPB-1","  .913665","","01012015","12312015"
"010055","MSPB-1"," 1.020101","","01012015","12312015"
"010056","MSPB-1"," 1.051588","","01012015","12312015"
"010058","MSPB-1"," 1.054940","","01012015","12312015"
"010059","MSPB-1","  .875646","","01012015","12312015"
"010061","MSPB-1","  .956735","","01012015","12312015"
"010062","MSPB-1","  .978000","","01012015","12312015"
"010065","MSPB-1","  .994182","","01012015","12312015"
"010069","MSPB-1","  .998593","","01012015","12312015"
"010073","MSPB-1"," 1.027543","","01012015","12312015"
"010078","MSPB-1"," 1.002898","","01012015","12312015"
"010079","MSPB-1","  .921274","","01012015","12312015"
"010083","MSPB-1","  .979414","","01012015","12312015"
"010085","MSPB-1","  .973507","","01012015","12312015"
"010086","MSPB-1","  .996362","","01012015","12312015"
"010087","MSPB-1","  .966342","","01012015","12312015"
"010089","MSPB-1","  .968880","","01012015","12312015"
"010090","MSPB-1","  .978250","","01012015","12312015"
"010091","MSPB-1","  .988932","","01012015","12312015"
"010092","MSPB-1","  .993068","","01012015","12312015"
"010095","MSPB-1"," 1.026289","","01012015","12312015"
"010097","MSPB-1","  .967004","","01012015","12312015"
"010099","MSPB-1"," 1.020358","","01012015","12312015"
"010100","MSPB-1","  .957383","","01012015","12312015"
"010101","MSPB-1","  .997603","","01012015","12312015"
"010102","MSPB-1","  .980839","","01012015","12312015"
"010103","MSPB-1"," 1.009932","","01012015","12312015"
"010104","MSPB-1"," 1.006347","","01012015","12312015"
"010108","MSPB-1","  .942388","","01012015","12312015"
"010109","MSPB-1","  .836889","","01012015","12312015"
"010110","MSPB-1"," 1.052041","","01012015","12312015"
"010112","MSPB-1"," 1.036367","","01012015","12312015"
"010113","MSPB-1","  .974258","","01012015","12312015"
"010114","MSPB-1","  .983008","","01012015","12312015"
"010118","MSPB-1","  .945833","","01012015","12312015"
"010125","MSPB-1","  .879434","","01012015","12312015"
"010126","MSPB-1","  .986293","","01012015","12312015"
"010128","MSPB-1","  .928402","","01012015","12312015"
"010130","MSPB-1","  .851080","","01012015","12312015"
"010131","MSPB-1","  .970306","","01012015","12312015"
"010138","MSPB-1"," 1.081071","","01012015","12312015"
"010144","MSPB-1","  .959491","","01012015","12312015"
"010146","MSPB-1"," 1.133463","","01012015","12312015"
"010149","MSPB-1","  .937120","","01012015","12312015"
"010150","MSPB-1","  .955890","","01012015","12312015"
"010157","MSPB-1"," 1.094021","","01012015","12312015"
"010164","MSPB-1"," 1.013786","","01012015","12312015"
"010168","MSPB-1","  .974242","","01012015","12312015"
"020001","MSPB-1","  .905135","","01012015","12312015"
"020006","MSPB-1","  .802409","","01012015","12312015"
"020008","MSPB-1","  .898359","","01012015","12312015"
"020017","MSPB-1","  .889942","","01012015","12312015"
"020018","MSPB-1","  .774963","","01012015","12312015"
"020024","MSPB-1","  .874852","","01012015","12312015"
"030001","MSPB-1","  .929936","","01012015","12312015"
"030002","MSPB-1","  .972999","","01012015","12312015"
"030007","MSPB-1","  .939852","","01012015","12312015"
"030010","MSPB-1","  .982765","","01012015","12312015"
"030011","MSPB-1"," 1.010589","","01012015","12312015"
"110001","MSPB-1","  .939956","","01012015","12312015"
"110002","MSPB-1","  .965030","","01012015","12312015"
"110003","MSPB-1","  .949470","","01012015","12312015"
"110004","MSPB-1","  .952004","","01012015","12312015"
"110005","MSPB-1","  .954110","","01012015","12312015"
"110006","MSPB-1","  .999612","","01012015","12312015"
"110008","MSPB-1"," 1.013475","","01012015","12312015"
"110010","MSPB-1","  .964656","","01012015","12312015"
"110011","MSPB-1"," 1.021219","","01012015","12312015"
"110016","MSPB-1","  .939893","","01012015","12312015"
"110018","MSPB-1","  .999883","","01012015","12312015"
"110024","MSPB-1"," 1.049994","","01012015","12312015"
"110025","MSPB-1","  .946660","","01012015","12312015"
"110026","MSPB-1","  .951270","","01012015","12312015"
"110028","MSPB-1","  .986835","","01012015","12312015"
"110029","MSPB-1","  .922171","","01012015","12312015"
